schema_version,workout_id,workout_name,started_at,finished_at,duration_seconds,exercise_index,exercise_id,exercise_name,muscle,equipment,set_index,weight_kg,reps,rpe,complete
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,0,bench,Barbell Bench Press,Chest,Barbell,0,35,8,7,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,0,bench,Barbell Bench Press,Chest,Barbell,1,35,7,8,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,0,bench,Barbell Bench Press,Chest,Barbell,2,32.5,9,,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,1,lat-pulldown,Lat Pulldown,Back,Cable,0,32.5,10,7.5,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,1,lat-pulldown,Lat Pulldown,Back,Cable,1,32.5,9,,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,1,lat-pulldown,Lat Pulldown,Back,Cable,2,30,11,8,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,2,ohp,Overhead Press,Shoulders,Barbell,0,20,8,8,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,2,ohp,Overhead Press,Shoulders,Barbell,1,20,7,,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,2,ohp,Overhead Press,Shoulders,Barbell,2,17.5,10,8.5,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,3,curl,Cable Curl,Biceps,Cable,0,10,12,,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,3,curl,Cable Curl,Biceps,Cable,1,10,10,8,true
1,demo-beginner-01,Upper foundations,2025-01-07T18:10:00.000Z,2025-01-07T19:02:30.000Z,3150,3,curl,Cable Curl,Biceps,Cable,2,9,13,8.5,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,0,squat,Back Squat,Quadriceps,Barbell,0,47.5,7,7.5,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,0,squat,Back Squat,Quadriceps,Barbell,1,47.5,6,8,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,0,squat,Back Squat,Quadriceps,Barbell,2,42.5,9,8.5,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,1,rdl,Romanian Deadlift,Hamstrings,Barbell,0,45,9,7.5,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,1,rdl,Romanian Deadlift,Hamstrings,Barbell,1,45,8,,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,1,rdl,Romanian Deadlift,Hamstrings,Barbell,2,42.5,10,8.5,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,2,split-squat,Bulgarian Split Squat,Quadriceps,Dumbbell,0,10,10,8,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,2,split-squat,Bulgarian Split Squat,Quadriceps,Dumbbell,1,10,9,,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,2,split-squat,Bulgarian Split Squat,Quadriceps,Dumbbell,2,8,12,8.5,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,3,calf,Standing Calf Raise,Calves,Machine,0,35,14,,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,3,calf,Standing Calf Raise,Calves,Machine,1,35,12,8,true
1,demo-beginner-02,Lower foundations,2025-01-10T17:45:00.000Z,2025-01-10T18:40:00.000Z,3300,3,calf,Standing Calf Raise,Calves,Machine,2,32.5,15,8.5,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,0,bench,Barbell Bench Press,Chest,Barbell,0,36.25,8,7.5,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,0,bench,Barbell Bench Press,Chest,Barbell,1,36.25,7,8,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,0,bench,Barbell Bench Press,Chest,Barbell,2,33.75,9,,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,1,lat-pulldown,Lat Pulldown,Back,Cable,0,33.75,10,7.5,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,1,lat-pulldown,Lat Pulldown,Back,Cable,1,33.75,9,,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,1,lat-pulldown,Lat Pulldown,Back,Cable,2,31.25,11,8,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,2,ohp,Overhead Press,Shoulders,Barbell,0,20.75,8,8,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,2,ohp,Overhead Press,Shoulders,Barbell,1,20.75,7,,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,2,ohp,Overhead Press,Shoulders,Barbell,2,18.25,10,8.5,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,3,curl,Cable Curl,Biceps,Cable,0,10.5,12,,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,3,curl,Cable Curl,Biceps,Cable,1,10.5,10,8,true
1,demo-beginner-03,Upper foundations,2025-01-14T18:10:00.000Z,2025-01-14T19:05:30.000Z,3330,3,curl,Cable Curl,Biceps,Cable,2,9.5,13,8.5,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,0,squat,Back Squat,Quadriceps,Barbell,0,50,7,7.5,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,0,squat,Back Squat,Quadriceps,Barbell,1,50,6,8,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,0,squat,Back Squat,Quadriceps,Barbell,2,45,9,,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,1,rdl,Romanian Deadlift,Hamstrings,Barbell,0,47,9,7.5,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,1,rdl,Romanian Deadlift,Hamstrings,Barbell,1,47,8,,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,1,rdl,Romanian Deadlift,Hamstrings,Barbell,2,44.5,10,8.5,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,2,split-squat,Bulgarian Split Squat,Quadriceps,Dumbbell,0,10.75,10,8,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,2,split-squat,Bulgarian Split Squat,Quadriceps,Dumbbell,1,10.75,9,,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,2,split-squat,Bulgarian Split Squat,Quadriceps,Dumbbell,2,8.75,12,8.5,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,3,calf,Standing Calf Raise,Calves,Machine,0,37,14,,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,3,calf,Standing Calf Raise,Calves,Machine,1,37,12,8,true
1,demo-beginner-04,Lower foundations,2025-01-17T17:45:00.000Z,2025-01-17T18:42:30.000Z,3450,3,calf,Standing Calf Raise,Calves,Machine,2,34.5,15,8.5,true
1,demo-beginner-05,Upper foundations,2025-01-21T18:10:00.000Z,2025-01-21T19:08:30.000Z,3510,0,bench,Barbell Bench Press,Chest,Barbell,0,36.25,8,8,true
1,demo-beginner-05,Upper foundations,2025-01-21T18:10:00.000Z,2025-01-21T19:08:30.000Z,3510,0,bench,Barbell Bench Press,Chest,Barbell,1,36.25,7,8,true
1,demo-beginner-05,Upper foundations,2025-01-21T18:10:00.000Z,2025-01-21T19:08:30.000Z,3510,0,bench,Barbell Bench Press,Chest,Barbell,2,33.75,9,,true
1,demo-beginner-05,Upper foundations,2025-01-21T18:10:00.000Z,2025-01-21T19:08:30.000Z,3510,1,lat-pulldown,Lat Pulldown,Back,Cable,0,35,10,7.5,true
1,demo-beginner-05,Upper foundations,2025-01-21T18:10:00.000Z,2025-01-21T19:08:30.000Z,3510,1,lat-pulldown,Lat Pulldown,Back,Cable,1,35,9,,true
1,demo-beginner-05,Upper foundations,2025-01-21T18:10:00.000Z,2025-01-21T19:08:30.000Z,3510,1,lat-pulldown,Lat Pulldown,Back,Cable,2,32.5,11,8,true
