schema_version,workout_id,workout_name,started_at,finished_at,duration_seconds,exercise_index,exercise_id,exercise_name,muscle,equipment,set_index,weight_kg,reps,rpe,complete
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,0,bench,Barbell Bench Press,Chest,Barbell,0,55,5,8,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,0,bench,Barbell Bench Press,Chest,Barbell,1,50,8,,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,0,bench,Barbell Bench Press,Chest,Barbell,2,47.5,10,9,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,1,lat-pulldown,Lat Pulldown,Back,Cable,0,45,9,8,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,1,lat-pulldown,Lat Pulldown,Back,Cable,1,42.5,11,,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,1,lat-pulldown,Lat Pulldown,Back,Cable,2,40,12,9,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,2,ohp,Overhead Press,Shoulders,Barbell,0,30,7,8.5,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,2,ohp,Overhead Press,Shoulders,Barbell,1,27.5,9,,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,2,ohp,Overhead Press,Shoulders,Barbell,2,25,11,9,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,3,curl,Cable Curl,Biceps,Cable,0,15,10,,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,3,curl,Cable Curl,Biceps,Cable,1,14,12,8.5,true
1,demo-inconsistent-01,Upper strength,2025-08-04T19:00:00.000Z,2025-08-04T19:45:00.000Z,2700,3,curl,Cable Curl,Biceps,Cable,2,13,13,9,true
1,demo-inconsistent-02,Lower strength,2025-08-07T17:15:00.000Z,2025-08-07T18:08:00.000Z,3180,0,squat,Back Squat,Quadriceps,Barbell,0,71.1,6,8,true
1,demo-inconsistent-02,Lower strength,2025-08-07T17:15:00.000Z,2025-08-07T18:08:00.000Z,3180,0,squat,Back Squat,Quadriceps,Barbell,1,66.1,7,,true
1,demo-inconsistent-02,Lower strength,2025-08-07T17:15:00.000Z,2025-08-07T18:08:00.000Z,3180,0,squat,Back Squat,Quadriceps,Barbell,2,61.099999999999994,9,9,true
1,demo-inconsistent-02,Lower strength,2025-08-07T17:15:00.000Z,2025-08-07T18:08:00.000Z,3180,1,rdl,Romanian Deadlift,Hamstrings,Barbell,0,66.2,8,8,true
1,demo-inconsistent-02,Lower strength,2025-08-07T17:15:00.000Z,2025-08-07T18:08:00.000Z,3180,1,rdl,Romanian Deadlift,Hamstrings,Barbell,1,66.2,9,,true
1,demo-inconsistent-02,Lower strength,2025-08-07T17:15:00.000Z,2025-08-07T18:08:00.000Z,3180,1,rdl,Romanian Deadlift,Hamstrings,Barbell,2,63.5,11,9,true
1,demo-inconsistent-02,Lower strength,2025-08-07T17:15:00.000Z,2025-08-07T18:08:00.000Z,3180,2,leg-press,Leg Press,Quadriceps,Machine,0,122.5,10,,true
1,demo-inconsistent-02,Lower strength,2025-08-07T17:15:00.000Z,2025-08-07T18:08:00.000Z,3180,2,leg-press,Leg Press,Quadriceps,Machine,1,122.5,8,8.5,true
1,demo-inconsistent-02,Lower strength,2025-08-07T17:15:00.000Z,2025-08-07T18:08:00.000Z,3180,2,leg-press,Leg Press,Quadriceps,Machine,2,112.5,13,9,true
1,demo-inconsistent-03,Quick full body,2025-08-13T12:35:00.000Z,2025-08-13T13:18:00.000Z,2580,0,bench,Barbell Bench Press,Chest,Barbell,0,56.4,7,8,true
1,demo-inconsistent-03,Quick full body,2025-08-13T12:35:00.000Z,2025-08-13T13:18:00.000Z,2580,0,bench,Barbell Bench Press,Chest,Barbell,1,51.4,8,,true
1,demo-inconsistent-03,Quick full body,2025-08-13T12:35:00.000Z,2025-08-13T13:18:00.000Z,2580,0,bench,Barbell Bench Press,Chest,Barbell,2,48.9,10,9,true
1,demo-inconsistent-03,Quick full body,2025-08-13T12:35:00.000Z,2025-08-13T13:18:00.000Z,2580,1,squat,Back Squat,Quadriceps,Barbell,0,77.1,6,8,true
1,demo-inconsistent-03,Quick full body,2025-08-13T12:35:00.000Z,2025-08-13T13:18:00.000Z,2580,1,squat,Back Squat,Quadriceps,Barbell,1,69.5,8,,true
1,demo-inconsistent-03,Quick full body,2025-08-13T12:35:00.000Z,2025-08-13T13:18:00.000Z,2580,1,squat,Back Squat,Quadriceps,Barbell,2,64.5,10,9,true
1,demo-inconsistent-03,Quick full body,2025-08-13T12:35:00.000Z,2025-08-13T13:18:00.000Z,2580,2,cable-row,Seated Cable Row,Back,Cable,0,52.5,10,8,true
1,demo-inconsistent-03,Quick full body,2025-08-13T12:35:00.000Z,2025-08-13T13:18:00.000Z,2580,2,cable-row,Seated Cable Row,Back,Cable,1,50,12,,true
1,demo-inconsistent-03,Quick full body,2025-08-13T12:35:00.000Z,2025-08-13T13:18:00.000Z,2580,2,cable-row,Seated Cable Row,Back,Cable,2,47.5,13,9,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,0,bench,Barbell Bench Press,Chest,Barbell,0,54.45,8,8,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,0,bench,Barbell Bench Press,Chest,Barbell,1,49.45,8,,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,0,bench,Barbell Bench Press,Chest,Barbell,2,46.95,10,9,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,1,lat-pulldown,Lat Pulldown,Back,Cable,0,46.15,9,8,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,1,lat-pulldown,Lat Pulldown,Back,Cable,1,44.9,11,,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,1,lat-pulldown,Lat Pulldown,Back,Cable,2,42.4,12,9,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,2,ohp,Overhead Press,Shoulders,Barbell,0,30.51666666666667,7,8.5,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,2,ohp,Overhead Press,Shoulders,Barbell,1,28.85,9,,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,2,ohp,Overhead Press,Shoulders,Barbell,2,26.35,11,9,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,3,curl,Cable Curl,Biceps,Cable,0,18,10,,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,3,curl,Cable Curl,Biceps,Cable,1,17,12,8.5,true
1,demo-inconsistent-04,Upper strength,2025-08-22T19:20:00.000Z,2025-08-22T20:20:00.000Z,3600,3,curl,Cable Curl,Biceps,Cable,2,16,13,9,true
1,demo-inconsistent-05,Lower strength,2025-08-24T18:05:00.000Z,2025-08-24T19:14:30.000Z,4170,0,squat,Back Squat,Quadriceps,Barbell,0,84.4,6,8,true
1,demo-inconsistent-05,Lower strength,2025-08-24T18:05:00.000Z,2025-08-24T19:14:30.000Z,4170,0,squat,Back Squat,Quadriceps,Barbell,1,79.4,7,,true
1,demo-inconsistent-05,Lower strength,2025-08-24T18:05:00.000Z,2025-08-24T19:14:30.000Z,4170,0,squat,Back Squat,Quadriceps,Barbell,2,74.4,9,9,true
1,demo-inconsistent-05,Lower strength,2025-08-24T18:05:00.000Z,2025-08-24T19:14:30.000Z,4170,1,rdl,Romanian Deadlift,Hamstrings,Barbell,0,79.8,8,8,true
1,demo-inconsistent-05,Lower strength,2025-08-24T18:05:00.000Z,2025-08-24T19:14:30.000Z,4170,1,rdl,Romanian Deadlift,Hamstrings,Barbell,1,69.8,9,,true
1,demo-inconsistent-05,Lower strength,2025-08-24T18:05:00.000Z,2025-08-24T19:14:30.000Z,4170,1,rdl,Romanian Deadlift,Hamstrings,Barbell,2,66.5,11,9,true
1,demo-inconsistent-05,Lower strength,2025-08-24T18:05:00.000Z,2025-08-24T19:14:30.000Z,4170,2,leg-press,Leg Press,Quadriceps,Machine,0,130,10,,true
1,demo-inconsistent-05,Lower strength,2025-08-24T18:05:00.000Z,2025-08-24T19:14:30.000Z,4170,2,leg-press,Leg Press,Quadriceps,Machine,1,130,8,8.5,true
1,demo-inconsistent-05,Lower strength,2025-08-24T18:05:00.000Z,2025-08-24T19:14:30.000Z,4170,2,leg-press,Leg Press,Quadriceps,Machine,2,120,13,9,true
1,demo-inconsistent-06,Quick full body,2025-09-04T12:35:00.000Z,2025-09-04T13:14:00.000Z,2340,0,bench,Barbell Bench Press,Chest,Barbell,0,48.5,7,8,true
1,demo-inconsistent-06,Quick full body,2025-09-04T12:35:00.000Z,2025-09-04T13:14:00.000Z,2340,0,bench,Barbell Bench Press,Chest,Barbell,1,53.5,8,,true
1,demo-inconsistent-06,Quick full body,2025-09-04T12:35:00.000Z,2025-09-04T13:14:00.000Z,2340,0,bench,Barbell Bench Press,Chest,Barbell,2,51,10,9,true
1,demo-inconsistent-06,Quick full body,2025-09-04T12:35:00.000Z,2025-09-04T13:14:00.000Z,2340,1,squat,Back Squat,Quadriceps,Barbell,0,70.25,6,8,true
1,demo-inconsistent-06,Quick full body,2025-09-04T12:35:00.000Z,2025-09-04T13:14:00.000Z,2340,1,squat,Back Squat,Quadriceps,Barbell,1,72.5,8,,true
1,demo-inconsistent-06,Quick full body,2025-09-04T12:35:00.000Z,2025-09-04T13:14:00.000Z,2340,1,squat,Back Squat,Quadriceps,Barbell,2,67.5,10,9,true
1,demo-inconsistent-06,Quick full body,2025-09-04T12:35:00.000Z,2025-09-04T13:14:00.000Z,2340,2,cable-row,Seated Cable Row,Back,Cable,0,47.5,10,8,true
1,demo-inconsistent-06,Quick full body,2025-09-04T12:35:00.000Z,2025-09-04T13:14:00.000Z,2340,2,cable-row,Seated Cable Row,Back,Cable,1,45,12,,true
1,demo-inconsistent-06,Quick full body,2025-09-04T12:35:00.000Z,2025-09-04T13:14:00.000Z,2340,2,cable-row,Seated Cable Row,Back,Cable,2,42.5,13,9,true
1,demo-inconsistent-07,Upper strength,2025-09-10T19:00:00.000Z,2025-09-10T19:45:00.000Z,2700,0,bench,Barbell Bench Press,Chest,Barbell,0,58.9,7,8,true
1,demo-inconsistent-07,Upper strength,2025-09-10T19:00:00.000Z,2025-09-10T19:45:00.000Z,2700,0,bench,Barbell Bench Press,Chest,Barbell,1,53.9,8,,true
